institution, ror, year, count, oa status 
"University of Oxford",https://ror.org/052gg0110,2014,2204,green
"University of Oxford",https://ror.org/052gg0110,2014,1894,bronze
"University of Oxford",https://ror.org/052gg0110,2014,1707,gold
"University of Oxford",https://ror.org/052gg0110,2014,1495,hybrid
"University of Oxford",https://ror.org/052gg0110,2015,5830,closed
"University of Oxford",https://ror.org/052gg0110,2015,2563,green
"University of Oxford",https://ror.org/052gg0110,2015,2135,gold
"University of Oxford",https://ror.org/052gg0110,2015,1991,bronze
"University of Oxford",https://ror.org/052gg0110,2015,1947,hybrid
"University of Oxford",https://ror.org/052gg0110,2016,5008,closed
"University of Oxford",https://ror.org/052gg0110,2016,3754,green
"University of Oxford",https://ror.org/052gg0110,2016,2394,gold
"University of Oxford",https://ror.org/052gg0110,2016,2246,hybrid
"University of Oxford",https://ror.org/052gg0110,2016,2053,bronze
"University of Oxford",https://ror.org/052gg0110,2017,4637,closed
"University of Oxford",https://ror.org/052gg0110,2017,4442,green
"University of Oxford",https://ror.org/052gg0110,2017,2968,gold
"University of Oxford",https://ror.org/052gg0110,2017,2337,hybrid
"University of Oxford",https://ror.org/052gg0110,2017,2130,bronze
"University of Oxford",https://ror.org/052gg0110,2018,4849,green
"University of Oxford",https://ror.org/052gg0110,2018,4797,closed
"University of Oxford",https://ror.org/052gg0110,2018,3103,gold
"University of Oxford",https://ror.org/052gg0110,2018,2579,hybrid
"University of Oxford",https://ror.org/052gg0110,2018,2171,bronze
"University of Oxford",https://ror.org/052gg0110,2019,5286,green
"University of Oxford",https://ror.org/052gg0110,2019,5042,closed
"University of Oxford",https://ror.org/052gg0110,2019,3678,gold
"University of Oxford",https://ror.org/052gg0110,2019,2913,hybrid
"University of Oxford",https://ror.org/052gg0110,2019,2142,bronze
"University of Oxford",https://ror.org/052gg0110,2020,6377,green
"University of Oxford",https://ror.org/052gg0110,2020,5080,closed
"University of Oxford",https://ror.org/052gg0110,2020,4848,gold
"University of Oxford",https://ror.org/052gg0110,2020,3576,hybrid
"University of Oxford",https://ror.org/052gg0110,2020,2393,bronze
"University of Oxford",https://ror.org/052gg0110,2021,6579,green
"University of Oxford",https://ror.org/052gg0110,2021,5667,gold
"University of Oxford",https://ror.org/052gg0110,2021,4984,closed
"University of Oxford",https://ror.org/052gg0110,2021,4201,hybrid
"University of Oxford",https://ror.org/052gg0110,2021,1977,bronze
"University of Oxford",https://ror.org/052gg0110,2022,6213,gold
"University of Oxford",https://ror.org/052gg0110,2022,5261,green
"University of Oxford",https://ror.org/052gg0110,2022,4520,hybrid
"University of Oxford",https://ror.org/052gg0110,2022,4152,closed
"University of Oxford",https://ror.org/052gg0110,2022,1496,bronze
"University of Oxford",https://ror.org/052gg0110,2023,5506,gold
"University of Oxford",https://ror.org/052gg0110,2023,5317,hybrid
"University of Oxford",https://ror.org/052gg0110,2023,5074,closed
"University of Oxford",https://ror.org/052gg0110,2023,3073,green
"University of Oxford",https://ror.org/052gg0110,2023,2074,bronze
"University of Cambridge",https://ror.org/013meh722,2000,3603,closed
"University of Cambridge",https://ror.org/013meh722,2000,670,bronze
"University of Cambridge",https://ror.org/013meh722,2000,495,green
"University of Cambridge",https://ror.org/013meh722,2000,150,hybrid
"University of Cambridge",https://ror.org/013meh722,2000,38,gold
"University of Cambridge",https://ror.org/013meh722,2001,3615,closed
"University of Cambridge",https://ror.org/013meh722,2001,756,bronze
