institution, ror, year, count, oa status 
University of Otago,https://ror.org/01jmxt844,2013,223,green
University of Otago,https://ror.org/01jmxt844,2013,121,hybrid
University of Otago,https://ror.org/01jmxt844,2014,1861,closed
University of Otago,https://ror.org/01jmxt844,2014,413,bronze
University of Otago,https://ror.org/01jmxt844,2014,392,gold
University of Otago,https://ror.org/01jmxt844,2014,237,green
University of Otago,https://ror.org/01jmxt844,2014,133,hybrid
University of Otago,https://ror.org/01jmxt844,2015,1834,closed
University of Otago,https://ror.org/01jmxt844,2015,490,bronze
University of Otago,https://ror.org/01jmxt844,2015,455,gold
University of Otago,https://ror.org/01jmxt844,2015,238,green
University of Otago,https://ror.org/01jmxt844,2015,161,hybrid
University of Otago,https://ror.org/01jmxt844,2016,1858,closed
University of Otago,https://ror.org/01jmxt844,2016,474,bronze
University of Otago,https://ror.org/01jmxt844,2016,474,gold
University of Otago,https://ror.org/01jmxt844,2016,273,green
University of Otago,https://ror.org/01jmxt844,2016,188,hybrid
University of Otago,https://ror.org/01jmxt844,2017,1850,closed
University of Otago,https://ror.org/01jmxt844,2017,610,gold
University of Otago,https://ror.org/01jmxt844,2017,468,bronze
University of Otago,https://ror.org/01jmxt844,2017,372,green
University of Otago,https://ror.org/01jmxt844,2017,189,hybrid
University of Otago,https://ror.org/01jmxt844,2018,1826,closed
University of Otago,https://ror.org/01jmxt844,2018,697,gold
University of Otago,https://ror.org/01jmxt844,2018,501,bronze
University of Otago,https://ror.org/01jmxt844,2018,393,green
University of Otago,https://ror.org/01jmxt844,2018,202,hybrid
University of Otago,https://ror.org/01jmxt844,2019,1886,closed
University of Otago,https://ror.org/01jmxt844,2019,797,gold
University of Otago,https://ror.org/01jmxt844,2019,459,green
University of Otago,https://ror.org/01jmxt844,2019,436,bronze
University of Otago,https://ror.org/01jmxt844,2019,252,hybrid
University of Otago,https://ror.org/01jmxt844,2020,1913,closed
University of Otago,https://ror.org/01jmxt844,2020,966,gold
University of Otago,https://ror.org/01jmxt844,2020,658,green
University of Otago,https://ror.org/01jmxt844,2020,454,bronze
University of Otago,https://ror.org/01jmxt844,2020,322,hybrid
University of Otago,https://ror.org/01jmxt844,2021,1884,closed
University of Otago,https://ror.org/01jmxt844,2021,1086,gold
University of Otago,https://ror.org/01jmxt844,2021,616,green
University of Otago,https://ror.org/01jmxt844,2021,384,bronze
University of Otago,https://ror.org/01jmxt844,2021,342,hybrid
University of Otago,https://ror.org/01jmxt844,2022,1460,closed
University of Otago,https://ror.org/01jmxt844,2022,1105,gold
University of Otago,https://ror.org/01jmxt844,2022,630,hybrid
University of Otago,https://ror.org/01jmxt844,2022,555,green
University of Otago,https://ror.org/01jmxt844,2022,231,bronze
University of Otago,https://ror.org/01jmxt844,2023,1175,closed
University of Otago,https://ror.org/01jmxt844,2023,961,hybrid
University of Otago,https://ror.org/01jmxt844,2023,915,gold
University of Otago,https://ror.org/01jmxt844,2023,313,bronze
University of Otago,https://ror.org/01jmxt844,2023,276,green
Massey University,https://ror.org/052czxv31,2000,506,closed
Massey University,https://ror.org/052czxv31,2000,96,bronze
Massey University,https://ror.org/052czxv31,2000,18,green
Massey University,https://ror.org/052czxv31,2000,13,hybrid
Massey University,https://ror.org/052czxv31,2000,9,gold
Massey University,https://ror.org/052czxv31,2001,496,closed
Massey University,https://ror.org/052czxv31,2001,62,bronze
Massey University,https://ror.org/052czxv31,2001,24,green
Massey University,https://ror.org/052czxv31,2001,13,hybrid
Massey University,https://ror.org/052czxv31,2001,6,gold
Massey University,https://ror.org/052czxv31,2002,655,closed
Massey University,https://ror.org/052czxv31,2002,69,bronze
Massey University,https://ror.org/052czxv31,2002,32,green
Massey University,https://ror.org/052czxv31,2002,14,hybrid
Massey University,https://ror.org/052czxv31,2002,12,gold
Massey University,https://ror.org/052czxv31,2003,580,closed
Massey University,https://ror.org/052czxv31,2003,79,bronze
Massey University,https://ror.org/052czxv31,2003,49,green
Massey University,https://ror.org/052czxv31,2003,20,hybrid
Massey University,https://ror.org/052czxv31,2003,10,gold
Massey University,https://ror.org/052czxv31,2004,668,closed
Massey University,https://ror.org/052czxv31,2004,91,bronze
Massey University,https://ror.org/052czxv31,2004,47,green
Massey University,https://ror.org/052czxv31,2004,34,hybrid
Massey University,https://ror.org/052czxv31,2004,19,gold
Massey University,https://ror.org/052czxv31,2005,855,closed
Massey University,https://ror.org/052czxv31,2005,121,bronze
Massey University,https://ror.org/052czxv31,2005,76,green
Massey University,https://ror.org/052czxv31,2005,26,gold
Massey University,https://ror.org/052czxv31,2005,17,hybrid
Massey University,https://ror.org/052czxv31,2006,891,closed
Massey University,https://ror.org/052czxv31,2006,115,bronze
Massey University,https://ror.org/052czxv31,2006,75,green
Massey University,https://ror.org/052czxv31,2006,28,hybrid
Massey University,https://ror.org/052czxv31,2006,26,gold
Massey University,https://ror.org/052czxv31,2007,1000,closed
Massey University,https://ror.org/052czxv31,2007,145,bronze
Massey University,https://ror.org/052czxv31,2007,103,green
Massey University,https://ror.org/052czxv31,2007,52,hybrid
Massey University,https://ror.org/052czxv31,2007,38,gold
Massey University,https://ror.org/052czxv31,2008,1055,closed
Massey University,https://ror.org/052czxv31,2008,152,bronze
Massey University,https://ror.org/052czxv31,2008,96,green
Massey University,https://ror.org/052czxv31,2008,41,gold
Massey University,https://ror.org/052czxv31,2008,34,hybrid
Massey University,https://ror.org/052czxv31,2009,960,closed
Massey University,https://ror.org/052czxv31,2009,156,bronze
Massey University,https://ror.org/052czxv31,2009,91,green
Massey University,https://ror.org/052czxv31,2009,53,gold
Massey University,https://ror.org/052czxv31,2009,32,hybrid
Massey University,https://ror.org/052czxv31,2010,1103,closed
Massey University,https://ror.org/052czxv31,2010,157,bronze
Massey University,https://ror.org/052czxv31,2010,103,green
Massey University,https://ror.org/052czxv31,2010,71,gold
